Model,Threshold,Accuracy,Precision,Recall,F1 Score,ROC-AUC,PR-AUC,Predicted Churners,Business Score
Tuned Gradient Boosting,0.1,0.62125,0.3394495412844037,0.9079754601226994,0.4941569282136895,0.8618476177634811,0.6957424704660088,872,0.6262276821474939
Tuned Gradient Boosting,0.11,0.649375,0.3575757575757576,0.9049079754601227,0.5125977410947002,0.8618476177634811,0.6957424704660088,825,0.6348796523275104
Tuned Gradient Boosting,0.12,0.668125,0.3697585768742058,0.8926380368098159,0.522911051212938,0.8618476177634811,0.6957424704660088,787,0.6356848287129768
Tuned Gradient Boosting,0.13,0.69125,0.3864864864864865,0.8773006134969326,0.5365853658536586,0.8618476177634811,0.6957424704660088,740,0.6373726195146217
Tuned Gradient Boosting,0.13999999999999999,0.710625,0.4014388489208633,0.8558282208588958,0.5465230166503428,0.8618476177634811,0.6957424704660088,695,0.6349308998388737
Tuned Gradient Boosting,0.14999999999999997,0.733125,0.42242703533026116,0.843558282208589,0.5629477993858751,0.8618476177634811,0.6957424704660088,651,0.6400402492366315
Tuned Gradient Boosting,0.15999999999999998,0.74875,0.43851132686084143,0.8312883435582822,0.5741525423728814,0.8618476177634811,0.6957424704660088,618,0.6423892274770978
Tuned Gradient Boosting,0.16999999999999998,0.765,0.45733788395904434,0.8220858895705522,0.5877192982456141,0.8618476177634811,0.6957424704660088,586,0.6475507693415369
Tuned Gradient Boosting,0.17999999999999997,0.776875,0.47186932849364793,0.7975460122699386,0.5929304446978335,0.8618476177634811,0.6957424704660088,551,0.6426360594338159
Tuned Gradient Boosting,0.18999999999999995,0.789375,0.4893203883495146,0.7730061349693251,0.5992865636147443,0.8618476177634811,0.6957424704660088,515,0.6389722093814753
Tuned Gradient Boosting,0.19999999999999996,0.794375,0.49691991786447637,0.7423312883435583,0.5953259532595326,0.8618476177634811,0.6957424704660088,487,0.6270362416590746
Tuned Gradient Boosting,0.20999999999999996,0.80125,0.5085470085470085,0.7300613496932515,0.5994962216624685,0.8618476177634811,0.6957424704660088,468,0.62641830468591
Tuned Gradient Boosting,0.21999999999999995,0.8125,0.5294117647058824,0.7177914110429447,0.609375,0.8618476177634811,0.6957424704660088,442,0.630175252616384
Tuned Gradient Boosting,0.22999999999999995,0.820625,0.5463182897862233,0.7055214723926381,0.6157965194109772,0.8618476177634811,0.6957424704660088,421,0.6318553678840607
Tuned Gradient Boosting,0.23999999999999994,0.8275,0.5609756097560976,0.7055214723926381,0.625,0.8618476177634811,0.6957424704660088,410,0.6388261259913213
Tuned Gradient Boosting,0.24999999999999992,0.8275,0.5631313131313131,0.6840490797546013,0.6177285318559557,0.8618476177634811,0.6957424704660088,396,0.6284637518567213
Tuned Gradient Boosting,0.2599999999999999,0.83375,0.5785340314136126,0.6779141104294478,0.6242937853107344,0.8618476177634811,0.6957424704660088,382,0.6324070177501628
