Model,Threshold,Accuracy,Precision,Recall,F1 Score,ROC-AUC,PR-AUC,Predicted Churners
Tuned XGBoost,0.5,0.79875,0.5040983606557377,0.754601226993865,0.6044226044226044,0.8635354566555269,0.69506319499786,488
Tuned Random Forest,0.5,0.8575,0.7848837209302325,0.41411042944785276,0.5421686746987951,0.8631502152536334,0.6777059696055485,172
Tuned Gradient Boosting,0.5,0.859375,0.7790055248618785,0.4325153374233129,0.5562130177514792,0.8618476177634811,0.6957424704660088,181
Tuned Extra Trees,0.5,0.85375,0.7875,0.38650306748466257,0.5185185185185185,0.8607713495969412,0.671150726782464,160
Tuned Hist Gradient Boosting,0.5,0.8525,0.7678571428571429,0.39570552147239263,0.5222672064777328,0.855825813100134,0.6830669314070261,168
Tuned Decision Tree,0.5,0.8625,0.8397435897435898,0.401840490797546,0.5435684647302904,0.8474371815739038,0.6453918337682708,156
Tuned Logistic Regression,0.5,0.703125,0.37645107794361526,0.696319018404908,0.48869752421959095,0.7737188315628281,0.5127003172825946,603
