Model,Best F1 Threshold,Best Business Threshold,Best F1,Best Business Score
Tuned Logistic Regression,0.5999999999999998,0.11,0.509641873278237,0.5938776934288976
Tuned Decision Tree,0.18999999999999995,0.17999999999999997,0.5796766743648961,0.6374640552727835
Tuned Random Forest,0.33999999999999986,0.16999999999999998,0.6308724832214765,0.6486571526133011
Tuned Extra Trees,0.29999999999999993,0.15999999999999998,0.6224188790560472,0.6503066139422999
Tuned Gradient Boosting,0.32999999999999985,0.16999999999999998,0.6298701298701299,0.6475507693415369
Tuned Hist Gradient Boosting,0.30999999999999994,0.13,0.6217948717948718,0.6346558777055903
Tuned XGBoost,0.6499999999999997,0.3699999999999999,0.6385737439222042,0.6487315632147176
