Model,Threshold,Accuracy,Precision,Recall,F1 Score,ROC-AUC,PR-AUC,Predicted Churners,Business Score
Tuned Decision Tree,0.1,0.681875,0.3781624500665779,0.8711656441717791,0.5273909006499535,0.8474371815739038,0.6453918337682708,751,0.6298595775305935
Tuned Decision Tree,0.11,0.68875,0.38346883468834686,0.8680981595092024,0.5319548872180451,0.8474371815739038,0.6453918337682708,738,0.6312492413636716
Tuned Decision Tree,0.12,0.68875,0.38346883468834686,0.8680981595092024,0.5319548872180451,0.8474371815739038,0.6453918337682708,738,0.6312492413636716
Tuned Decision Tree,0.13,0.68875,0.38346883468834686,0.8680981595092024,0.5319548872180451,0.8474371815739038,0.6453918337682708,738,0.6312492413636716
Tuned Decision Tree,0.13999999999999999,0.68875,0.38346883468834686,0.8680981595092024,0.5319548872180451,0.8474371815739038,0.6453918337682708,738,0.6312492413636716
Tuned Decision Tree,0.14999999999999997,0.743125,0.432,0.8282208588957055,0.5678233438485805,0.8474371815739038,0.6453918337682708,625,0.6374640552727835
Tuned Decision Tree,0.15999999999999998,0.743125,0.432,0.8282208588957055,0.5678233438485805,0.8474371815739038,0.6453918337682708,625,0.6374640552727835
Tuned Decision Tree,0.16999999999999998,0.743125,0.432,0.8282208588957055,0.5678233438485805,0.8474371815739038,0.6453918337682708,625,0.6374640552727835
Tuned Decision Tree,0.17999999999999997,0.743125,0.432,0.8282208588957055,0.5678233438485805,0.8474371815739038,0.6453918337682708,625,0.6374640552727835
Tuned Decision Tree,0.18999999999999995,0.7725,0.4648148148148148,0.7699386503067485,0.5796766743648961,0.8474371815739038,0.6453918337682708,540,0.6250929126962013
Tuned Decision Tree,0.19999999999999996,0.7725,0.4648148148148148,0.7699386503067485,0.5796766743648961,0.8474371815739038,0.6453918337682708,540,0.6250929126962013
Tuned Decision Tree,0.20999999999999996,0.7725,0.4648148148148148,0.7699386503067485,0.5796766743648961,0.8474371815739038,0.6453918337682708,540,0.6250929126962013
Tuned Decision Tree,0.21999999999999995,0.7725,0.4648148148148148,0.7699386503067485,0.5796766743648961,0.8474371815739038,0.6453918337682708,540,0.6250929126962013
Tuned Decision Tree,0.22999999999999995,0.7725,0.4648148148148148,0.7699386503067485,0.5796766743648961,0.8474371815739038,0.6453918337682708,540,0.6250929126962013
