Model,Threshold,Accuracy,Precision,Recall,F1 Score,ROC-AUC,PR-AUC,Predicted Churners,Business Score
Tuned XGBoost,0.1,0.349375,0.23616236162361623,0.9815950920245399,0.38072575847709694,0.8635354566555269,0.69506319499786,1355,0.600519769674728
Tuned XGBoost,0.11,0.36875,0.2409090909090909,0.9754601226993865,0.3863912515188335,0.8635354566555269,0.69506319499786,1320,0.6005534873366725
Tuned XGBoost,0.12,0.389375,0.24708624708624707,0.9754601226993865,0.39429634221946686,0.8635354566555269,0.69506319499786,1287,0.6042965101388038
Tuned XGBoost,0.13,0.39875,0.24921135646687698,0.9693251533742331,0.39648682559598497,0.8635354566555269,0.69506319499786,1268,0.6027176589010088
Tuned XGBoost,0.13999999999999999,0.416875,0.255044390637611,0.9693251533742331,0.4038338658146965,0.8635354566555269,0.69506319499786,1239,0.606228628904508
Tuned XGBoost,0.14999999999999997,0.439375,0.2626766417290108,0.9693251533742331,0.4133420536298234,0.8635354566555269,0.69506319499786,1203,0.6108015543495233
Tuned XGBoost,0.15999999999999998,0.453125,0.26717557251908397,0.9662576687116564,0.4186046511627907,0.8635354566555269,0.69506319499786,1179,0.6120483315344829
Tuned XGBoost,0.16999999999999998,0.46375,0.270293609671848,0.9601226993865031,0.42183288409703507,0.8635354566555269,0.69506319499786,1158,0.6110245549284803
Tuned XGBoost,0.17999999999999997,0.474375,0.2739244951712028,0.9570552147239264,0.425938566552901,0.8635354566555269,0.69506319499786,1139,0.6117361332462681
Tuned XGBoost,0.18999999999999995,0.484375,0.2774308652988403,0.9539877300613497,0.42985487214927437,0.8635354566555269,0.69506319499786,1121,0.6123662558120564
Tuned XGBoost,0.19999999999999996,0.496875,0.28247048138056313,0.9539877300613497,0.43587946741415556,0.8635354566555269,0.69506319499786,1101,0.6153350404936355
Tuned XGBoost,0.20999999999999996,0.50625,0.2851851851851852,0.9447852760736196,0.43812233285917496,0.8635354566555269,0.69506319499786,1080,0.6125926556197786
Tuned XGBoost,0.21999999999999995,0.51625,0.2882797731568998,0.9355828220858896,0.4407514450867052,0.8635354566555269,0.69506319499786,1058,0.6100604795609063
Tuned XGBoost,0.22999999999999995,0.528125,0.29315332690453233,0.9325153374233128,0.44607483492296407,0.8635354566555269,0.69506319499786,1037,0.6114505332416699
Tuned XGBoost,0.23999999999999994,0.54,0.29862475442043224,0.9325153374233128,0.4523809523809524,0.8635354566555269,0.69506319499786,1018,0.6146267563638326
Tuned XGBoost,0.24999999999999992,0.554375,0.30474268415741673,0.9263803680981595,0.45861807137433563,0.8635354566555269,0.69506319499786,991,0.6152547193741347
Tuned XGBoost,0.2599999999999999,0.57375,0.31419624217118997,0.9233128834355828,0.4688473520249221,0.8635354566555269,0.69506319499786,958,0.6192289527109132
Tuned XGBoost,0.2699999999999999,0.591875,0.3232432432432432,0.9171779141104295,0.478017585931255,0.8635354566555269,0.69506319499786,925,0.6214687136710795
Tuned XGBoost,0.2799999999999999,0.605,0.3303769401330377,0.9141104294478528,0.48534201954397393,0.8635354566555269,0.69506319499786,902,0.6240500262068918
Tuned XGBoost,0.2899999999999999,0.62125,0.33981693363844395,0.911042944785276,0.495,0.8635354566555269,0.69506319499786,874,0.6279052519268296
Tuned XGBoost,0.29999999999999993,0.6375,0.35023584905660377,0.911042944785276,0.5059625212947189,0.8635354566555269,0.69506319499786,848,0.6337443765821292
Tuned XGBoost,0.30999999999999994,0.6475,0.35697115384615385,0.911042944785276,0.5129533678756477,0.8635354566555269,0.69506319499786,832,0.6374999025746576
